logme r1 gpat logag y
-5.858933 -0.06639456 0.237469 -0.08724212 0.0828068
-4.458719 -0.06 0.3926329 -0.1831637 0.08401158
-6.664963 -0.1344538 0.1161079 -0.07184134 0.008674048
-7.373917 -0.002105264 0.3735126 -0.07511374 -0.04537087
-5.247344 0 0.326633 -0.02486119 0.0621021
-8.017642 -0.05828877 0.2140343 -0.2927665 -0.01212959
-7.659999 -0.02649007 0.3960334 -0.07863966 -0.03049441
-6.888706 0.05637584 0.5363852 -0.1017942 -0.0004642435
-6.508043 0.03484321 0.3619759 -0.05073397 0.01389827
-5.007711 0.08695652 0.1426133 0.08789163 -0.07411961
-6.613991 -0.1144231 0.0958861 -0.03741768 -0.07931819
-6.633839 0.01754386 0.44251 -0.1037926 0.1032614
-10.78432 -0.02058822 0.1577318 -0.09774516 0.01059217
-5.817057 -0.09385965 0.3430011 -0.1202185 0.1061387
-5.453608 0.009569378 0.3111046 -0.1113095 0.03947598
-5.93619 -0.01771428 0.4540469 -0.07241065 0.02468992
-7.116525 -0.08730159 0.2111084 -0.2795623 0.1452061
-5.858999 0.05045871 0.5191293 -0.04218224 -0.03202161
-9.375244 -0.02077922 0.3022379 -0.182606 -0.02468304
-6.997983 -0.04929385 0.3110996 -0.2351015 0.05636078
-6.933937 -0.131361 0.1521878 -0.007885735 0.01048019
-5.286951 -0.1529412 0.1175652 -0.1138169 0.04866951
-5.770029 -0.004255319 0.8669329 -0.066364 -0.002101849
-5.964628 0.08333334 0.3984244 0.06767063 -0.01134904
-7.261131 -0.1818182 0.3719902 -0.1294469 0.0365031
-7.406959 -0.02222222 0.5243708 -0.1187503 0.06401704
-4.363576 0.02830189 0.4037709 0.258125 0.06966218
-4.942829 0.05681818 0.2474121 0.03794831 0.1416004
-4.470186 0.006756757 0.3900772 0.04201642 0.08405556
-4.992293 -0.122807 0.04770172 -0.1040381 -0.07361835
-4.788067 0.06896552 0.4676115 -0.09243135 0.1463037
-8.390219 0.01816949 0.7468767 -0.1477833 -0.003442912
-4.962393 0.09150327 0.2279169 -0.930889 -0.2090973
-6.707451 0.2191559 0.3043863 -0.09975077 -0.03251976
-7.013274 -0.1265823 0.152151 -0.06300945 -0.01633469
-7.636915 -0.03844961 0.1075948 -0.04475159 0.0134849
-7.033201 -0.000714285 0.2110009 -0.1052409 -0.02615424
-4.933911 -0.01020408 0.7281326 -0.1464152 -0.01221484
-6.794466 0.003902439 0.2534072 -0.09737724 0.1952478
-6.973902 -0.07608695 0.08625937 -0.1095289 -0.0257502
-7.128865 -0.03623188 0.2870533 -0.4698378 -0.1257347
-5.401882 -0.08595041 0.248421 -0.1978194 -0.03314508
-9.149122 -0.01419753 0.35659 -0.06703248 -0.0505326
-9.323388 -0.07824428 0.4577271 -0.1474147 0.04634372
-4.422512 0.01630435 0.2535287 0.03127676 0.04321794
-10.25082 -0.1028807 0.333729 -0.1338248 -0.02468304
-6.398394 -0.2429217 0.04437014 -0.2336373 -0.01727273
-6.00675 -0.04390244 0.1612923 -0.06635735 -0.01062754
-7.142357 0.1142857 0.3185346 -0.1947328 0.07488193
-9.52889 -0.1129032 0.3893901 -0.1062853 -0.01532043
-9.318138 -0.03013699 0.1627686 -0.07084735 0.06165903
-6.955343 -0.1007194 0.4457373 -0.1567937 0.04137993
-5.872157 -0.0513924 0.3621188 -0.0624353 0.113143
-5.2412 0.04678363 0.1031784 -0.8769499 -0.05250114
-6.498127 0.09037901 0.4529366 -0.3566076 -0.03657382
-7.037269 -0.005870021 0.3782542 -0.171594 -0.02327897
-6.185722 -0.01612903 0.1182216 -0.08195324 0.0319293
-10.37931 -0.07495146 0.7049022 -0.0848792 0.06469647
-5.585807 0 0.126864 -0.1075752 -0.1152451
-6.809221 0.01838235 0.2786433 -0.1842059 0.0106316
-8.241076 -0.1359259 0.3054641 -0.02136549 0.01278516
-5.995807 0.06462585 0.6574788 -0.2414988 0.1392276
-5.842283 -0.200009 0.1299087 -0.139191 -0.017478
-7.600459 0.03022223 0.6756632 -0.07837458 -0.002137323
-4.511712 -0.237037 0.1175168 -0.01060748 0.007944839
-5.726183 -0.1921466 0.1997818 -0.3519985 0.007725634
-5.625572 -0.1528384 0.2392089 -0.2146462 -0.04706333
-4.329326 -0.09917355 0.03683404 0.02740515 -0.008956698
-6.802295 0.02869757 0.585454 -0.1038122 -0.007290601
-8.726144 -0.5629629 0.5042583 -0.1545023 -0.1860244
-5.473791 -0.122724 0.6167069 -0.2303303 0.06291913
-6.61838 0.01238095 0.4339857 -0.06983973 0.001510647
-5.99785 -0.172 0.528795 -0.1439316 -0.08414467
-5.610759 0 0.2807841 0.4223092 -0.05241092
-8.019175 -0.05142857 0.4489178 -0.1114995 -0.110029
-6.670795 -0.04921466 0.2406228 -0.008363239 -0.004391714
-4.317488 -0.7142857 0.8433118 -0.07559162 0.03778516
-5.060527 -0.5863875 0.5941555 -0.01396192 0.05247163
-4.634304 -0.03658536 0.2058768 -0.2988499 0.001510647
-6.046896 -0.05706161 0.03483149 -0.03802878 0.08475485
-7.476196 -0.1043257 0.1487056 -0.03579419 -0.02266031
-6.332071 -0.06796116 0.4638528 -0.16252 -0.02312393
-6.349753 -0.04565217 0.3086965 -0.05916641 0.03164481
-5.734308 0.04280155 0.1699125 -0.308336 -0.08050753
-4.60755 -0.05387205 0.3696762 0.1209065 -0.007635503
-6.794396 -0.03448276 0.2519247 -0.05214989 0.008618491
-7.923777 -0.01169591 0.08771556 -0.09118616 0.02366184
-4.276647 0.2020202 0.03816021 -0.3059644 -0.05483087
-5.122129 -0.08797654 0.02877069 -0.1574368 -0.03764162
-7.081242 -0.1079195 0.1513723 -0.09076393 -0.0690424
-8.164619 -0.02333333 0.918771 -0.168503 -0.02148738
-8.786343 -0.007211538 0.3962995 -0.143941 -0.03854738
-8.794947 -0.05151515 0.4414647 -0.1446366 -0.04516393
-5.671283 -0.08661017 0.03361962 -0.03632672 -0.006769956
-7.192073 -0.02919708 0.3229621 -0.1766536 0.0821114
-6.046792 -0.08585858 0.09144062 -0.09265289 -0.04108247
-5.382036 -0.004807693 0.5825405 -0.5028611 0.01154911
-8.573819 -0.06909091 0.4394667 -0.1357069 -0.05031008
-8.587746 -0.03522388 0.07369083 -0.5354986 -0.0303521
-9.542616 -0.03142857 0.279137 -0.08825591 0.006160042
-7.036524 -0.08831169 0.06660549 -0.0588858 0.008997279
-7.297576 -0.05242506 0.1702138 -0.09192419 0.01850069
-7.267444 -0.04580153 0.4393146 -0.207021 0.05031557
-4.268692 0.05936037 0.4371065 -0.2339248 0.2421711
-9.641792 -0.05263158 0.2454653 -0.2023234 -0.02610373
-7.19748 -0.005649718 0.7692584 -0.08965761 0.03248213
-4.993937 -0.08504673 0.3762596 -0.01112489 0.0573027
-8.643836 -0.2171974 0.2522136 -0.3841609 -0.01591855
-4.291945 0.0962963 0.6957537 -0.6125465 -0.04445528
-9.117604 -0.06538462 0.2120702 -0.1393686 -0.02581292
-4.264425 0.04 0.001088732 -0.668521 0.06278516
-6.596726 -0.120339 0.4229442 -0.08682834 0.01345566
-7.056908 -0.02 0.3258556 -0.1376667 0.06038551
-8.88553 -0.03738318 0.3486368 -0.1188625 -0.07497761
-5.295927 0.1304348 0.3065412 0.08778569 -0.06221485
-4.800982 -0.09490196 0.04106364 -0.05222248 -0.0006206405
-4.653592 0.0125 0.2916437 -0.0375724 0.2464349
-5.406303 -0.06277778 0.3594871 0.05626187 0.03445182
-7.871182 -0.04910714 0.1243572 -0.06303915 0.03813977
-6.123917 -0.1699422 0.5583526 -0.08373506 -0.03138151
-6.396385 -0.06130653 0.3495282 -0.08776891 0.05461131
-6.275567 -0.06719368 0.1403012 -0.01467215 0.1129703
-5.580208 -0.1196319 0.9782118 -0.09627815 0.0950911
-7.721864 -0.08163265 0.2980211 0.001304642 -0.01661736
-6.307648 0 0.6901009 -0.0803843 0.01422194
-5.660878 -0.0917647 0.9028967 -0.03656263 -0.01668973
-4.232518 0.005099602 0.1294336 -0.1240262 0.01700326
-8.199977 0.03741496 1.111816 -0.1528996 -0.0248179
-7.500486 0.06402439 0.5438535 -0.2350138 0.07649308
-4.896335 -0.125683 0.04766691 -0.04942 -0.03280308
-8.135508 -0.04712042 0.2907453 -0.0928437 0.04861849
-8.654385 -0.01355932 0.8460553 -0.125514 0.010949
-4.732494 0.01793104 0.3409872 -0.03365403 0.06873754
-7.858274 -0.04347826 0.07733154 -0.1029601 0.00645182
-4.535322 0.01851852 0.3394554 0.2012058 0.03998642
-5.370965 0 0.2965046 0.04167246 0.03606511
